TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
-65536,-196608,-78757,-184329
-196608,-196608,-182650,-208321
-65536,-65536,-59921,-50309
-196608,-196608,-185494,-204429
65536,-196608,52600,-199013
-196608,65536,-224125,59186
65536,65536,52714,48883
-65536,-196608,-55457,-173605
-196608,-65536,-165672,-64832
65536,65536,59243,81470
65536,65536,98887,80846
65536,-196608,77696,-210792
196608,-65536,176194,-47715
65536,196608,68673,203985
-65536,-65536,-52875,-80790
-65536,65536,-101080,72114
-65536,65536,-56092,50545
65536,65536,82721,89078
-65536,65536,-59691,77461
65536,65536,64632,64493
65536,-196608,63002,-178073
65536,-196608,62146,-219791
196608,-196608,179375,-207589
-196608,65536,-206683,61837
-65536,-196608,-71641,-163846
196608,65536,198271,49849
-65536,-65536,-73696,-90555
196608,196608,183872,175442
-196608,-65536,-185474,-52256
-196608,196608,-191177,187901
-196608,-196608,-204510,-198939
-196608,196608,-189189,207787
65536,-65536,58895,-67853
-65536,-65536,-64612,-62544
-65536,196608,-51247,204451
-65536,-65536,-74383,-71847
65536,-196608,48355,-199045
-65536,-65536,-67663,-61990
-196608,196608,-216589,209331
-65536,-196608,-69602,-208220
-65536,196608,-69649,152344
196608,65536,160504,75495
65536,65536,73312,79131
-196608,-196608,-199285,-193677
-196608,-196608,-179288,-192676
-196608,-65536,-193450,-73806
-65536,196608,-54756,203938
-196608,65536,-179169,78039
-196608,-65536,-198538,-64708
196608,65536,196596,102043
-65536,-65536,-88595,-88452
196608,-65536,214773,-63148
65536,65536,63401,48327
-65536,-65536,-80274,-52642
196608,65536,207448,42361
65536,-196608,33593,-216156
196608,196608,190317,187329
65536,-65536,78847,-61640
-196608,65536,-203023,56810
-196608,65536,-207129,56957
-65536,196608,-71634,193957
196608,196608,167154,193058
196608,196608,207093,218406
65536,-65536,63735,-55484
-65536,65536,-69527,60780
-196608,-65536,-200545,-34806
196608,-65536,196814,-58331
65536,-196608,75112,-210807
-196608,196608,-197371,200367
-196608,-196608,-216562,-188760
-196608,-196608,-188174,-206685
65536,-65536,72842,-80960
65536,-65536,68548,-64269
-196608,65536,-180851,60257
65536,-196608,65981,-174932
-196608,196608,-180322,207469
-196608,-196608,-175986,-205998
-196608,65536,-188075,71778
65536,-196608,54576,-178039
-65536,-196608,-67453,-217033
-65536,-196608,-47381,-211596
65536,65536,43589,65372
196608,-196608,190864,-196086
65536,-65536,60510,-66301
196608,-196608,183929,-201162
-196608,-65536,-183817,-70314
