TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
-65536,196608,-9938,153329
-196608,196608,-214103,174336
-196608,-196608,-169747,-162279
-65536,65536,-73677,91060
196608,-65536,211589,-99218
196608,196608,183279,108515
-65536,-196608,-26620,-4801
-196608,65536,-286746,57301
65536,-65536,44340,-84540
-65536,65536,-48234,72148
-65536,-196608,-34400,-210769
-65536,-196608,21563,-189448
-196608,-196608,-219420,-121528
196608,196608,282921,189342
-196608,-196608,-235055,-264440
-65536,-65536,11977,-74966
-196608,196608,-148917,169515
-196608,65536,-249899,148606
-65536,-65536,-47623,2787
-196608,196608,-199597,202881
65536,-196608,102032,-271209
-196608,65536,-209634,-5982
-196608,-196608,-214533,-195726
196608,-65536,276481,-45915
196608,-65536,190849,-87391
-65536,196608,-17323,168595
-65536,-65536,-78683,-100120
196608,65536,293841,64171
65536,196608,25962,57598
-196608,65536,-232437,1285
65536,-196608,154476,-233190
65536,65536,39578,135981
196608,65536,290014,18058
-65536,-65536,-13506,-55008
-196608,-196608,-205630,-183392
-65536,-65536,-171323,10184
65536,-196608,64409,-122949
65536,-196608,71465,-199963
-65536,65536,2559,37796
-65536,-65536,27134,-104264
196608,65536,156646,51472
-65536,65536,-18795,40215
-65536,65536,-20883,97835
196608,-196608,259231,-172087
-65536,-65536,-36443,-31010
65536,-65536,-47789,7930
-65536,65536,-74603,174215
-196608,-196608,-264032,-189335
65536,-65536,53716,-1394
196608,196608,253781,176092
65536,-65536,83338,3597
196608,65536,263587,127464
-196608,196608,-176670,255439
-196608,-196608,-272352,-191120
65536,196608,-81530,157616
-65536,196608,-56855,115251
65536,65536,53056,63200
65536,-65536,8541,23900
-196608,-196608,-295822,-214684
196608,196608,153743,242412
65536,65536,54189,114772
-65536,-65536,-26689,-82086
-196608,196608,-185603,273403
65536,65536,159350,-104155
65536,65536,5119,-5799
-65536,65536,-14135,12118
65536,-196608,68295,-244430
65536,-65536,106063,-45918
65536,196608,40070,213529
65536,-65536,128058,-42551
-65536,-65536,-48313,-30761
65536,196608,25897,141179
65536,-65536,64835,-136604
